pdf_company_name,entity_name,normalized_name,address,postcode,address_source,lat,lon,coord_precision
BUNDLE OF JOY ENTERPRISE LIMITED,BUNDLE OF JOY ENTERPRISE LIMITED,BUNDLE OF JOY ENTERPRISE LIMITED,"32 Stud Road, Yaldhurst, Christchurch, 8042, NEW ZEALAND",8042,address_for_service,-43.522048161143,172.525457373134,address_web
Kitchen Guru NZ Limited,KITCHEN GURU NZ LIMITED,KITCHEN GURU NZ LIMITED,"48 Grayson Avenue, Papatoetoe, Auckland, 2104, NEW ZEALAND",2104,public_address,-36.989065505093,174.865332280689,address_web
Toojay Limited,TOOJAY LIMITED,TOOJAY LIMITED,"14 Tui Street, Matamata, Matamata, 3400, NEW ZEALAND",3400,address_for_service,-37.812104107725,175.774288575991,address_web
Truco Limited,TRUCO LIMITED,TRUCO LIMITED,"73 Beechdale Crescent, Pakuranga Heights, Auckland, 2010, NEW ZEALAND",2010,address_for_service,-36.914372773335,174.884327265846,address_web
Singh Brothers Transportation Limited,SINGH BROTHERS TRANSPORTATION LIMITED,SINGH BROTHERS TRANSPORTATION LIMITED,"178a Old Wairoa Road, Papakura, Papakura, 2110, NEW ZEALAND",2110,address_for_service,-37.050963094016,174.959744277857,address_web
Universal Scaffolding Services Limited,UNIVERSAL SCAFFOLDING SERVICES LIMITED,UNIVERSAL SCAFFOLDING SERVICES LIMITED,"62 Topliss Drive, Northcross, Auckland, 0632, NEW ZEALAND",0632,public_address,-36.706842759953,174.727341679264,address_web
Miers Contractors 1995 Limited,MIERS CONTRACTORS (1995) LIMITED,MIERS CONTRACTORS 1995 LIMITED,"198 Butcher Road, Rd 2, Reporoa, 3083, NEW ZEALAND",3083,address_for_service,-38.447069022081,176.296886911754,address_web
Connexionz Limited,CONNEXIONZ LIMITED,CONNEXIONZ LIMITED,"Po Box 9001, Tower Junction, Christchurch, 8149, NEW ZEALAND",8149,public_address,-43.545168573428,172.527162928978,address_web
Unique Enterprises Nz Limited,UNIQUE ENTERPRISES NZ LIMITED,UNIQUE ENTERPRISES NZ LIMITED,"15 Sturdee Road, Manurewa, Auckland, 2102, NEW ZEALAND",2102,address_for_service,-37.01407785854,174.885532248246,address_web
Far North Pastures Limited,FAR NORTH PASTURES LIMITED,FAR NORTH PASTURES LIMITED,"17 Rewi Street, Te Aroha, Te Aroha, 3320, NEW ZEALAND",3320,address_for_service,-37.5282,175.7102,original
MAKO DAIRIES LIMITED,MAKO DAIRIES LIMITED,MAKO DAIRIES LIMITED,"69 Newcastle Street, Riversdale, 9776, NEW ZEALAND",9776,address_for_service,-45.901645243122,168.742261654112,address_web
Vartech Airconditioning Limited,VARTECH AIRCONDITIONING LIMITED,VARTECH AIRCONDITIONING LIMITED,"24 Riviera Drive, Flat Bush, Auckland, 2019, NEW ZEALAND",2019,address_for_service,-36.972260040684,174.914908136667,original
Sea International Limited,SEA INTERNATIONAL LIMITED,SEA INTERNATIONAL LIMITED,"48-52 Wyndham Street. Level 4. Office 4b, Auckland Cbd, Auckland, 1010, NEW ZEALAND",1010,address_for_service,-36.846868236012,174.763421665301,address_web
DHILLON HORTICULTURE LIMITED,DHILLON HORTICULTURE LIMITED,DHILLON HORTICULTURE LIMITED,"8g Cannell Farm Drive, Te Puke, Te Puke, 3119, NEW ZEALAND",3119,address_for_service,-37.789611605829,176.328201199103,address_web
P & S TRANSPORT LIMITED,P & S TRANSPORT LIMITED,P S TRANSPORT LIMITED,"15 Tidal View Road, Karaka, Papakura, 2113, NEW ZEALAND",2113,address_for_service,-37.09787907875,174.937991395098,address_web
Southern Lakes Scaffolds Limited,SOUTHERN LAKES SCAFFOLDS LIMITED,SOUTHERN LAKES SCAFFOLDS LIMITED,"3a / 335 Lincoln Road, Addington, Christchurch, 8024, NEW ZEALAND",8024,address_for_service,-43.542484079275,172.613275159436,address_web
Ideal Housing Limited,IDEAL HOUSING LIMITED,IDEAL HOUSING LIMITED,"49 Headland Drive, Long Bay, Auckland, 0630, NEW ZEALAND",0630,address_for_service,-36.686774262547,174.74219441169,address_web
YI XI TRADING LIMITED,YI XI TRADING LIMITED,YI XI TRADING LIMITED,"53 Pearn Place, Northcote, Auckland, 0627, NEW ZEALAND",0627,address_for_service,-36.801062781445,174.74644441847,address_web
